Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,Unnamed: 35_level_0,Year
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,OT,Unnamed: 6_level_1,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP,
14,Thu,December 9,boxscore,W,,,Pittsburgh Steelers,36,28,14,31,216,2,2,0,0,7.0,7.0,45.2,63.4,36,242,6.7,2,3,4,3,4,3,146,5,14,1,1,30:28,2021
15,Mon,December 20,boxscore,W,,@,Chicago Bears,17,9,12,24,61,2,1,4,26,3.6,2.2,50.0,66.7,33,132,4.0,0,1,1,2,2,7,295,5,17,0,1,30:45,2021
16,Sun,December 26,boxscore,L,,,Los Angeles Rams,23,30,27,38,295,1,1,3,20,8.3,7.2,71.1,91.4,22,66,3.0,1,3,3,2,2,5,226,2,12,1,1,30:00,2021
17,Sun,January 2,boxscore,L,,@,Green Bay Packers,10,37,24,39,179,1,0,2,15,5.0,4.4,61.5,81.0,11,27,2.5,0,1,1,1,1,6,296,2,12,1,4,21:27,2021
18,Sun,January 9,boxscore,W,,,Chicago Bears,31,17,14,22,227,3,0,3,23,11.4,9.1,63.6,137.7,22,104,4.7,0,1,1,4,4,6,272,7,13,0,0,23:13,2021
1,Sun,September 10,boxscore,L,,,Tampa Bay Buccaneers,17,20,33,44,328,2,1,2,16,7.8,7.1,75.0,101.3,17,41,2.4,0,1,1,2,2,5,257,6,14,0,0,29:21,2023
2,Thu,September 14,boxscore,L,,@,Philadelphia Eagles,28,34,31,44,346,4,0,2,18,8.3,7.5,70.5,123.9,9,28,3.1,0,0,0,4,4,3,157,6,10,1,1,20:32,2023
3,Sun,September 24,boxscore,L,,,Los Angeles Chargers,24,28,32,50,345,3,1,4,22,7.3,6.4,64.0,95.8,24,130,5.4,0,1,1,3,3,3,145,4,14,2,3,33:13,2023
4,Sun,October 1,boxscore,W,,@,Carolina Panthers,21,13,12,19,130,2,2,2,9,7.3,6.2,63.2,78.7,23,135,5.9,0,0,0,3,3,4,216,1,8,1,2,21:31,2023
5,Sun,October 8,boxscore,L,,,Kansas City Chiefs,20,27,29,47,259,2,0,3,25,6.0,5.2,61.7,90.6,18,70,3.9,0,2,2,2,2,1,54,6,14,4,5,28:01,2023
6,Sun,October 15,boxscore,W,,@,Chicago Bears,19,13,21,31,174,1,0,2,7,5.8,5.3,67.7,92.7,22,46,2.1,0,2,3,1,2,5,249,2,13,1,2,24:49,2023
7,Mon,October 23,boxscore,W,,,San Francisco 49ers,22,17,35,45,378,2,1,0,0,8.4,8.4,77.8,107.2,21,74,3.5,0,3,4,1,2,1,42,8,13,0,0,34:56,2023
8,Sun,October 29,boxscore,W,,@,Green Bay Packers,24,10,26,35,284,2,0,3,13,8.5,7.5,74.3,116.8,31,62,2.0,1,1,3,3,3,2,87,10,18,1,1,36:22,2023
9,Sun,November 5,boxscore,W,,@,Atlanta Falcons,31,28,25,36,217,2,0,4,19,6.6,5.4,69.4,103.6,33,146,4.4,1,3,3,2,2,3,133,7,16,1,1,31:32,2023
10,Sun,November 12,boxscore,W,,,New Orleans Saints,27,19,23,34,263,1,0,1,5,7.9,7.5,67.6,100.5,33,125,3.8,2,2,3,3,3,6,258,6,15,0,0,33:06,2023
11,Sun,November 19,boxscore,L,,@,Denver Broncos,20,21,20,32,210,1,1,2,11,6.9,6.2,62.5,78.9,36,175,4.9,1,2,2,2,2,2,95,6,15,3,4,34:58,2023
12,Mon,November 27,boxscore,L,,,Chicago Bears,10,12,22,32,169,1,4,2,16,5.8,5.0,68.8,52.2,17,73,4.3,0,1,1,1,1,3,116,2,9,0,2,24:10,2023
14,Sun,December 10,boxscore,W,,@,Las Vegas Raiders,3,0,19,36,99,0,0,5,47,4.1,2.4,52.8,58.6,30,132,4.4,0,1,2,0,0,9,397,8,20,1,1,32:11,2023
15,Sat,December 16,boxscore,L,OT,@,Cincinnati Bengals,24,27,26,34,281,2,2,3,22,8.9,7.6,76.5,95.3,30,143,4.8,1,1,1,3,3,3,152,5,12,0,1,33:41,2023
16,Sun,December 24,boxscore,L,,,Detroit Lions,24,30,22,36,373,2,4,4,38,11.4,9.3,61.1,75.1,11,17,1.5,1,1,1,3,3,2,100,3,9,0,1,21:38,2023
17,Sun,December 31,boxscore,L,,,Green Bay Packers,10,33,18,32,144,1,1,4,36,5.6,4.0,56.3,65.1,16,67,4.2,0,1,1,1,1,4,218,3,10,0,2,22:28,2023
18,Sun,January 7,boxscore,L,,@,Detroit Lions,20,30,30,44,359,2,2,4,37,9.0,7.5,68.2,89.1,22,89,4.0,0,2,2,2,2,4,224,2,13,2,3,34:59,2023
