week,day,date,win_loss,OT,opp,pts_scored,pts_allowed,passes_completed,passing_att,passing_yds,passing_tds,int_thrown,times_sacked,yds_lost_from_sack,yds/pass_attempt,netyds/pass_attempt,pass_completion_percent,passer_rating,rushing_attempts,rushing_yds_gained,rushing_yds/attempt,rushing_tds,fgm,fga,xpm,xpa,times_punted,total_punt_yds,3dconv,3dattempt,4dconv,4datt,off_top,year,home_or_away
2,Thu,September 14,L,,Philadelphia Eagles,28,34,18,23,171,1,1,4,22,8.4,6.3,78.3,94.0,48,259,5.4,3,2,3,4,4,4,150,6,14,1,1,39.46666666666667,2023,away
3,Sun,September 24,L,,Los Angeles Chargers,24,28,41,48,445,4,0,1,9,9.5,9.1,85.4,133.1,15,30,2.0,0,0,1,4,4,3,112,5,11,1,2,26.783333333333335,2023,home
4,Sun,October 1,W,,Carolina Panthers,21,13,25,32,149,0,0,5,55,6.4,4.0,78.1,86.1,31,83,2.7,0,2,2,1,1,5,229,5,14,2,3,38.483333333333334,2023,away
5,Sun,October 8,L,,Kansas City Chiefs,20,27,31,41,266,2,0,2,15,6.9,6.2,75.6,108.4,21,67,3.2,1,2,2,3,3,3,140,9,15,0,0,31.983333333333334,2023,home
6,Sun,October 15,W,,Chicago Bears,19,13,16,24,113,0,2,5,28,5.9,3.9,66.7,42.5,36,162,4.5,1,2,2,1,1,4,176,6,14,0,1,35.18333333333333,2023,away
7,Mon,October 23,W,,San Francisco 49ers,22,17,21,30,260,1,2,1,12,9.1,8.4,70.0,79.9,22,65,3.0,1,1,2,2,2,1,62,5,9,1,1,25.066666666666666,2023,home
8,Sun,October 29,W,,Green Bay Packers,24,10,24,41,196,1,1,4,33,5.6,4.4,58.5,68.8,17,74,4.4,0,1,1,1,1,4,207,5,14,1,4,23.633333333333333,2023,away
9,Sun,November 5,W,,Atlanta Falcons,31,28,21,38,260,1,1,1,8,7.1,6.7,55.3,74.5,28,110,3.9,1,4,4,2,2,4,175,10,18,0,0,28.466666666666665,2023,away
10,Sun,November 12,W,,New Orleans Saints,27,19,26,43,215,2,2,3,17,5.4,4.7,60.5,69.4,15,65,4.3,0,1,1,0,0,6,279,4,14,2,2,26.9,2023,home
11,Sun,November 19,L,,Denver Broncos,20,21,27,35,249,1,0,2,10,7.4,6.7,77.1,105.5,15,46,3.1,0,5,5,0,0,4,217,2,12,1,1,25.033333333333335,2023,away
12,Mon,November 27,L,,Chicago Bears,10,12,27,37,199,0,0,3,18,5.9,5.0,73.0,85.3,28,118,4.2,0,4,5,0,0,3,137,8,18,1,1,35.833333333333336,2023,home
14,Sun,December 10,W,,Las Vegas Raiders,3,0,21,32,146,0,1,4,25,5.3,4.1,65.6,62.8,17,56,3.3,0,0,0,0,0,8,433,3,14,2,2,27.816666666666666,2023,away
15,Sat,December 16,L,OT,Cincinnati Bengals,24,27,29,42,298,2,1,5,26,7.7,6.3,69.0,95.1,22,80,3.6,1,2,2,3,3,4,192,6,13,1,1,33.13333333333333,2023,away
16,Sun,December 24,L,,Detroit Lions,24,30,30,40,246,1,0,1,11,6.4,6.0,75.0,98.5,36,143,4.0,3,1,1,3,4,3,143,6,12,2,2,38.36666666666667,2023,home
17,Sun,December 31,L,,Green Bay Packers,10,33,25,34,293,3,0,0,0,8.6,8.6,73.5,128.7,39,177,4.5,1,2,2,3,4,2,99,9,14,0,1,37.53333333333333,2023,home
18,Sun,January 7,L,,Detroit Lions,20,30,23,32,311,2,0,1,9,10.0,9.4,71.9,123.3,23,70,3.0,2,1,1,3,4,5,268,1,9,2,2,25.016666666666666,2023,away
