week,day,date,win_loss,OT,opp,pts_scored,pts_allowed,passes_completed,passing_att,passing_yds,passing_tds,int_thrown,times_sacked,yds_lost_from_sack,yds/pass_attempt,netyds/pass_attempt,pass_completion_percent,passer_rating,rushing_attempts,rushing_yds_gained,rushing_yds/attempt,rushing_tds,fgm,fga,xpm,xpa,times_punted,total_punt_yds,3dconv,3dattempt,4dconv,4datt,off_top,year,home_or_away
16,Sat,December 24,W,,New York Giants,27,24,34,48,270,3,0,4,29,6.2,5.2,70.8,105.4,19,83,4.4,0,2,2,3,3,5,241,6,13,0,1,30.783333333333335,2022,home
17,Sun,January 1,L,,Green Bay Packers,17,41,22,35,244,2,3,2,18,7.5,6.6,62.9,66.8,20,102,5.1,0,1,3,2,2,2,95,5,12,1,2,25.933333333333334,2022,away
18,Sun,January 8,W,,Chicago Bears,29,13,28,33,341,1,1,0,0,10.3,10.3,84.8,107.2,38,141,3.7,2,3,3,2,3,1,35,6,11,0,0,36.6,2022,away
19,Sun,January 15,L,,New York Giants,24,31,32,40,271,2,0,0,0,6.8,6.8,80.0,111.6,16,61,3.8,1,1,1,3,3,3,164,4,10,1,2,26.4,2022,home
1,Sun,September 13,L,,Green Bay Packers,34,43,19,25,248,2,1,2,11,10.4,9.2,76.0,116.7,22,134,6.1,2,1,1,1,1,2,80,3,6,0,1,18.733333333333334,2020,home
2,Sun,September 20,L,,Indianapolis Colts,11,28,11,26,95,0,3,3,18,4.3,3.3,42.3,13.0,18,80,4.4,1,1,1,0,0,4,168,2,9,0,0,21.583333333333332,2020,away
3,Sun,September 27,L,,Tennessee Titans,30,31,16,27,238,3,2,2,13,9.3,8.2,59.3,94.4,33,226,6.8,1,1,2,3,3,3,132,4,10,0,1,28.466666666666665,2020,home
4,Sun,October 4,W,,Houston Texans,31,23,16,22,248,1,0,3,12,11.8,9.9,72.7,124.8,40,162,4.1,3,1,2,4,4,4,166,5,12,1,1,36.516666666666666,2020,away
5,Sun,October 11,L,,Seattle Seahawks,26,27,27,39,248,2,1,3,1,6.4,5.9,69.2,92.7,41,201,4.9,1,2,2,2,2,2,96,6,14,2,3,39.46666666666667,2020,away
6,Sun,October 18,L,,Atlanta Falcons,23,40,24,36,333,3,3,1,10,9.5,9.0,66.7,89.2,13,32,2.5,0,0,0,1,1,4,198,3,10,1,2,19.883333333333333,2020,home
8,Sun,November 1,W,,Green Bay Packers,28,22,11,14,151,1,0,1,9,11.4,10.1,78.6,135.4,34,173,5.1,3,0,0,4,4,3,113,4,8,1,1,27.8,2020,away
9,Sun,November 8,W,,Detroit Lions,34,20,13,20,212,3,0,1,8,11.0,10.1,65.0,140.0,34,275,8.1,2,0,0,4,5,5,157,4,10,0,1,27.183333333333334,2020,home
10,Mon,November 16,W,,Chicago Bears,19,13,25,36,286,2,1,1,6,8.1,7.7,69.4,100.0,33,99,3.0,0,2,2,1,1,5,208,8,15,0,0,35.833333333333336,2020,away
11,Sun,November 22,L,,Dallas Cowboys,28,31,22,30,305,3,0,2,9,10.5,9.5,73.3,138.9,29,125,4.3,1,0,0,4,4,3,154,6,10,0,1,31.816666666666666,2020,home
12,Sun,November 29,W,,Carolina Panthers,28,27,34,45,291,3,0,2,16,6.8,6.2,75.6,114.2,24,96,4.0,0,2,2,2,2,3,153,6,13,1,1,31.216666666666665,2020,home
13,Sun,December 6,W,OT,Jacksonville Jaguars,27,24,28,43,275,3,1,4,30,7.1,5.9,65.1,96.6,38,145,3.8,0,2,3,1,3,7,331,7,16,0,0,37.55,2020,home
14,Sun,December 13,L,,Tampa Bay Buccaneers,14,26,24,37,173,1,0,6,52,6.1,4.0,64.9,84.6,33,162,4.9,1,0,3,0,1,2,76,5,15,4,5,39.05,2020,away
15,Sun,December 20,L,,Chicago Bears,27,33,24,35,249,2,1,3,22,7.7,6.6,68.6,96.0,28,158,5.6,1,2,2,3,3,2,80,4,11,0,2,27.016666666666666,2020,home
16,Fri,December 25,L,,New Orleans Saints,33,52,27,41,274,3,0,2,17,7.1,6.4,65.9,109.2,17,90,5.3,2,0,0,3,4,4,186,3,9,1,2,23.216666666666665,2020,away
17,Sun,January 3,W,,Detroit Lions,37,35,28,40,383,3,0,3,22,10.1,8.9,70.0,125.3,31,125,4.0,2,1,2,4,5,3,137,4,13,2,2,35.21666666666667,2020,away
1,Sun,September 12,L,OT,Cincinnati Bengals,24,27,37,50,336,2,0,3,26,7.2,6.3,74.0,105.1,22,67,3.0,1,1,1,3,3,8,402,6,16,2,2,35.15,2021,away
2,Sun,September 19,L,,Arizona Cardinals,33,34,22,32,242,3,0,1,2,7.6,7.3,68.8,122.1,27,177,6.6,0,2,3,3,4,5,231,2,10,0,0,28.133333333333333,2021,away
3,Sun,September 26,W,,Seattle Seahawks,30,17,30,38,313,3,0,1,10,8.5,8.0,78.9,127.3,34,140,4.1,0,3,3,3,3,2,94,9,14,0,0,35.88333333333333,2021,home
